Time,!a,!b,!c
4914.78538233219,3,0,96
4945.43384951396,3,0,95
4971.67604587699,3,0,92
5009.35632429047,3,0,97
5032.22227043199,3,0,99
5062.80957855965,3,0,98
5088.01417360735,3,0,101
5120.46609705897,3,0,101
5140.96015289397,3,0,101
5163.90967849537,3,0,102
5186.15277909566,3,0,106
5206.18287997212,3,0,108
5234.9100692543,2,0,108
5267.99952876323,2,0,107
5290.09656112412,2,0,109
5317.98990154629,2,0,107
5346.62020110518,2,0,112
5375.33166212003,2,0,108
5397.17796397241,2,0,107
5417.26027744144,1,0,105
5443.90170736387,1,0,103
5464.81255196325,1,0,105
5487.14060506937,1,0,107
5521.00148919976,1,0,106
5541.55901343844,1,0,108
5591.87968720382,1,0,108
5619.37094224904,1,0,108
5643.97869735983,1,0,114
5664.09709944974,1,0,114
5685.73312337515,1,0,112
5706.8509856029,1,0,111
5728.3299255732,1,0,109
5764.92574894071,1,0,109
5788.06850024649,1,0,109
5809.84211112297,1,0,111
5832.00382400681,1,0,112
5854.69664983291,1,0,114
5883.74510081054,1,0,112
5911.77947571206,1,0,109
5934.36979811523,1,0,106
5958.38678667408,1,0,104
5994.8454020536,1,0,101
6017.62085292036,1,0,98
6041.7606900969,1,0,97
6063.28780503559,1,0,94
6085.50412664888,1,0,93
6107.52961844077,1,0,96
6132.56970279685,1,0,96
6173.28944311295,1,0,89
6197.17022498581,1,0,89
6218.71536142156,0,0,90
6246.49309217509,0,0,92
6269.49908705143,0,0,90
6297.57438114837,0,0,91
6328.07883086293,0,0,93
6350.09698464393,0,0,91
6370.42296477097,0,0,90
6391.2465591147,0,0,89
6422.64072735003,0,0,89
6447.9658937031,0,0,89
6472.95818729551,0,0,90
6499.64234303026,0,0,87
6526.11354936501,0,0,88
6551.27476970757,0,0,89
6576.53089155951,0,0,89
6597.20910630655,0,0,91
6625.12983765956,0,0,88
6647.46200314033,0,0,89
6678.88640860087,0,0,89
6699.75441491388,0,0,89
6719.96792656252,0,0,87
6740.43286359802,0,0,87
6768.22696348877,0,0,83
6791.30220313712,0,0,86
6814.45918618007,0,0,88
6834.47191545294,0,0,89
6855.62153466572,0,0,88
6888.82077447116,0,0,88
6908.90941037249,0,0,90
6929.51816697763,0,0,90
6956.36887140806,0,0,94
6977.46043080827,0,0,93
7001.63411829539,0,0,93
7021.84240207767,0,0,93
7046.41230547434,0,0,96
7069.33784088957,0,0,96
7091.50542717707,0,0,93
7121.51843846927,0,0,95
7142.87380610352,0,0,99
7162.93983794189,0,0,99
7192.92764060752,0,0,102
7221.07996154143,0,0,103
7243.77092011061,0,0,108
7264.90428097785,0,0,111
7285.00524980886,0,0,111
7311.17038739299,0,0,112
7341.68022936604,0,0,109
7362.87872149197,0,0,107
7385.98069598194,0,0,111
7406.63543877835,0,0,111
7431.06366613377,0,0,108
7452.09552026601,0,0,103
7479.48045097627,0,0,101
7500.15815541726,0,0,101
7522.31041479315,0,0,98
7544.10172129254,0,0,98
7570.55877846171,0,0,96
7597.09669974218,0,0,94
7625.60404464563,0,0,99
7648.93324931681,0,0,98
7674.76863381605,0,0,96
7697.20420631752,0,0,101
7719.91352231135,0,0,100
7742.77430173148,0,0,99
7770.55636190275,0,0,98
7791.11196517717,0,0,100
7817.86670037516,0,0,98
7841.97374852702,0,0,97
7866.08886600409,0,0,99
7891.82251006318,0,0,103
7919.0474990467,0,0,104
7941.9100147492,0,0,103
7972.72234606747,0,0,102
8006.41912625707,0,0,102
8027.16124458953,0,0,102
8049.37042117874,0,0,99
8075.52997322531,0,0,95
8104.11784338782,0,0,91
8126.29591038711,0,0,92
8148.18168047854,0,0,92
8182.28298251428,0,0,93
8203.44908401215,0,0,94
8229.96863742958,0,0,92
8256.14791441231,0,0,93
8278.85709787727,0,0,91
8299.79514910178,0,0,92
8323.41504743668,0,0,92
8350.77981771581,0,0,91
8374.60064188004,0,0,93
8401.40200058202,0,0,97
8428.52171301313,0,0,98
8451.01336550753,0,0,96
8471.74155608218,0,0,94
8492.50283163505,0,0,96
8515.68071333678,0,0,96
8545.37023210551,0,0,98
8569.84418705336,0,0,95
8590.25322701784,0,0,95
8613.72055670574,0,0,98
8636.68481400752,0,0,96
8661.17197523968,0,0,94
8682.32028255408,0,0,92
8706.85084580017,0,0,91
8733.97070063441,0,0,87
8759.32893709212,0,0,88
8787.60781470487,0,0,89
8819.35614432545,0,0,89
8843.07937975717,0,0,89
8863.96148875993,0,0,89
8888.91980108871,0,0,91
8911.27488584225,0,0,92
8931.33943540796,0,0,92
8951.93119786057,0,0,94
8972.85766180981,0,0,95
9014.72324739636,0,0,93
9040.69167189923,0,0,94
9067.58147146963,0,0,95
9092.92421423822,0,0,92
9115.53286780372,0,0,93
9136.41881427825,0,0,95
9160.92509107469,0,0,96
9192.45727418799,0,0,96
9217.42063710568,0,0,96
9238.71767104179,0,0,97
9259.37465222191,0,0,98
9280.06800579204,0,0,99
9301.93755155528,0,0,102
9323.11704379577,0,0,98
9352.98855412373,0,0,99
9378.94244865762,0,0,99
9403.75026922652,0,0,98
9423.9681266012,0,0,98
9445.09742049656,0,0,101
9486.17214858111,0,0,100
9508.50982556423,0,0,96
9531.33885552182,0,0,96
9557.4360416162,0,0,94
9578.11945101642,0,0,96
9606.88788425783,0,0,97
9637.9681000937,0,0,96
9661.30082540727,0,0,98
9681.44439207957,0,0,100
9709.20233218564,0,0,100
9744.72379511548,0,0,101
9767.65218162748,0,0,104
9796.42181771852,0,0,101
9827.24147766166,0,0,99
9850.37799034817,0,0,101
9873.25847891998,0,0,100
9899.62262194295,0,0,97
9920.83142590808,0,0,99
9943.01473548981,0,0,101
9973.1553189338,0,0,101
9993.20932464039,0,0,99
10017.8100255889,0,0,96
10040.9597646139,0,0,97
10063.324080614,0,0,97
10089.8932797649,0,0,100
10110.6497946367,0,0,101
10140.1423031645,0,0,102
10160.2841371871,0,0,104
10183.058139003,0,0,102
10207.9988718814,0,0,99
10229.302944821,0,0,98
10261.9387093918,0,0,93
10283.4804386752,0,0,92
10304.4202449758,0,0,97
10326.5189819694,0,0,96
10355.8959296734,0,0,98
10378.8429533319,0,0,98
10404.3654134855,0,0,98
10427.2620816635,0,0,96
10453.2659070234,0,0,96
10475.5421073302,0,0,96
10495.6458380866,0,0,92
10523.4680671154,0,0,93
10545.3773375511,0,0,96
10570.2670391684,0,0,98
10601.0117953657,0,0,101
10622.5304071045,0,0,103
10642.8687182233,0,0,104
10665.9595174868,0,0,103
10687.7104727226,0,0,105
10715.1539648554,0,0,104
10744.6309492948,0,0,101
10768.7140747951,0,0,103
10789.3582550761,0,0,104
10810.2190377265,0,0,104
10830.4858769863,0,0,106
10851.1460797425,0,0,110
10883.3538361024,0,0,105
10903.901048618,0,0,102
10929.0903720272,0,0,104
10950.0958680812,0,0,101
10975.2228743923,0,0,101
11000.947766303,0,0,103
11037.4229295754,0,0,103
11067.4411476075,0,0,101
11087.6775127465,0,0,103
11114.9248425708,0,0,106
11154.4377352672,0,0,108
11183.5987291209,0,0,111
11208.5072931341,0,0,114
11233.0863244705,0,0,112
11256.4451637451,0,0,112
11279.4217755591,0,0,113
11301.7612133724,0,0,110
11327.0975343986,0,0,110
11353.2075234638,0,0,111
11375.2713373382,0,0,109
11400.2721691726,0,0,109
11426.94511714,0,0,110
11448.9949623543,0,0,108
11475.9100976835,0,0,111
11504.3949690705,0,0,112
11527.8087976554,0,0,111
11550.1813755377,0,0,110
11581.0500992719,0,0,109
11606.121829422,0,0,109
11632.9754192379,0,0,108
11654.2878847693,0,0,108
11675.6262444683,0,0,111
11703.2905735632,0,0,114
11730.7203613168,0,0,115
11757.9998332748,0,0,111
11780.1192367819,0,0,110
11802.0282014398,0,0,111
11825.304239482,0,0,107
11849.4167388357,0,0,109
11876.0299110055,0,0,107
11897.3686867515,0,0,112
11917.4232941502,0,0,114
11944.1047537411,0,0,109
11969.1385853377,0,0,109
12004.409186254,0,0,108
12032.840612562,0,0,104
12056.4343366462,0,0,100
12085.9519114571,0,0,104
12112.3994220776,0,0,103
12133.7222829779,0,0,101
12158.7548751678,0,0,101
12178.8065065561,0,0,100
12201.8607220014,0,0,98
12231.4416231574,0,0,105
12262.6342958312,0,0,108
12283.9872875813,0,0,107
12304.981798934,0,0,107
12328.8430192371,0,0,106
12355.2053952686,0,0,107
12376.1848112715,0,0,104
12398.6667071919,0,0,106
12420.7145507932,0,0,106
12443.3779444522,0,0,105
12466.9427233016,0,0,105
12487.7937472582,0,0,104
12520.8414531337,0,0,108
12547.3257405225,0,0,103
12570.4790585754,0,0,101
12596.2086242327,0,0,103
12620.7404793399,0,0,106
12645.0745434238,0,0,105
12671.9720034133,0,0,108
12699.5581577099,0,0,110
12730.4557755293,0,0,108
12752.9512130745,0,0,110
12776.6411090084,0,0,108
12797.4038469999,0,0,108
12818.6632489877,0,0,112
12847.076947068,0,0,112
12870.2697506719,0,0,111
12890.3527473415,0,0,113
12911.376366583,0,0,113
12942.2160123798,0,0,112
12968.8442824947,0,0,112
12993.2496661297,0,0,110
13017.0165379378,0,0,108
13043.5940842558,0,0,108
13069.3674273862,0,0,110
13090.860009863,0,0,108
13110.972479054,0,0,110
13153.2242780233,0,0,109
13178.453996538,0,0,110
13202.8807194932,0,0,110
13224.3956883168,0,0,110
13249.2409704824,0,0,107
13274.9258976584,0,0,105
13295.7659898244,0,0,107
13316.3242825587,0,0,106
13343.796028547,0,0,105
13369.0062378264,0,0,106
13398.2725894261,0,0,106
13428.9465916447,0,0,105
13452.5994970142,0,0,104
13474.9332243827,0,0,105
13511.3702639613,0,0,103
13540.817247277,0,0,107
13579.2743250003,0,0,110
13602.3698324358,0,0,111
13627.1347100059,0,0,110
13653.8928187277,0,0,110
13679.7656103227,0,0,107
13708.7351224905,0,0,108
13729.1935611433,0,0,110
13767.6469730631,0,0,109
13790.8115228685,0,0,109
13813.4969031375,0,0,109
13836.0006238827,0,0,112
13858.3357924204,0,0,110
13883.0065092254,0,0,109
13903.6442719381,0,0,109
13924.7385491094,0,0,108
13951.9766447411,0,0,106
13984.0104104036,0,0,106
14004.3742664572,0,0,104
14025.3278517608,0,0,104
14056.3456733304,0,0,101
14099.5221604464,0,0,104
14125.0586714588,0,0,104
14150.4296443467,0,0,106
14173.9680826832,0,0,104
14203.5357747022,0,0,106
14229.4152304272,0,0,107
14268.8585617356,0,0,106
14295.7467312429,0,0,102
14329.2243526067,0,0,109
14356.7039231938,0,0,109
14380.2330815382,0,0,111
14401.6808710835,0,0,111
14430.0764975923,0,0,111
14456.6835196188,0,0,113
14481.0141010346,0,0,112
14502.2823830071,0,0,108
14526.5287148835,0,0,107
14546.9559828843,0,0,107
14573.1583635069,0,0,112
14597.778166257,0,0,113
14619.4483898717,0,0,113
14655.4331973382,0,0,113
14680.5626053765,0,0,114
14703.7384824213,0,0,113
14724.4237800775,0,0,112
14751.1537248477,0,0,111
14777.7650633391,0,0,109
14803.7893761159,0,0,108
14828.347943208,0,0,109
14849.663838024,0,0,111
14871.655046995,0,0,113
14893.2835517533,0,0,112
14913.4103203284,0,0,111
14934.8219877808,0,0,113
14956.2096637732,0,0,110
14977.5906292974,0,0,109
15007.5567848768,0,0,107
15030.2854169989,0,0,108
15056.0819988957,0,0,106
15079.5250663541,0,0,103
15108.3621016458,0,0,104
15131.8696194104,0,0,105
15155.3537341265,0,0,104
15176.8842522048,0,0,108
15199.0954378428,0,0,107
15220.1544638068,0,0,106
15241.1627188105,0,0,107
15263.4501512543,0,0,105
15285.9602895661,0,0,104
15311.656126745,0,0,106
15332.9501973806,0,0,104
15359.4951215134,0,0,102
15387.9871489786,0,0,104
15411.3820657406,0,0,104
15432.8271227283,0,0,108
15459.6460416844,0,0,110
15480.9931806626,0,0,109
15509.1704295521,0,0,109
15530.5608224861,0,0,106
15557.1726759456,0,0,103
15577.8486840993,0,0,103
15599.1164959296,0,0,103
15625.575241402,0,0,104
15663.4936922066,0,0,101
15693.3977143093,0,0,104
15719.2373783296,0,0,106
15742.2975474026,0,0,107
15771.4816755639,0,0,110
15791.6043464692,0,0,106
15826.6488966774,0,0,107
15853.6935996152,0,0,103
15874.2110492362,0,0,105
15894.88862165,0,0,105
15916.7827593793,0,0,106
15941.0120259057,0,0,107
15963.0314926797,0,0,108
15986.6284034193,0,0,109
16007.1366803404,0,0,107
16027.5588981533,0,0,104
16050.6744716659,0,0,102
16073.9894038491,0,0,99
16095.4549297442,0,0,98
16118.7410736416,0,0,97
16138.8288128656,0,0,93
16167.3040893565,0,0,95
16190.7076363012,0,0,94
16212.5790358622,0,0,92
16232.824844595,0,0,92
16258.0648661557,0,0,93
16282.7790986801,0,0,92
16303.7300431331,0,0,88
16325.4888450731,0,0,89
16347.9818140416,0,0,88
16376.0676107804,0,0,89
16396.4901900063,0,0,90
16416.855129647,0,0,91
16452.8664979208,0,0,92
16475.2999975436,0,0,88
16504.0940255652,0,0,89
16532.7155131887,0,0,89
16559.5571543907,0,0,89
16588.7044861157,0,0,90
16608.7125242408,0,0,87
16632.3303623047,0,0,91
16653.2892906896,0,0,89
16674.0648642607,0,0,88
16710.849239591,0,0,88
16744.0092886635,0,0,87
16764.0462181948,0,0,88
16787.0648377115,0,0,89
16808.7486176959,0,0,88
16832.5529797123,0,0,90
16854.9932636745,0,0,86
16875.6414385218,0,0,88
16896.2891361967,0,0,88
16919.506153003,0,0,92
16953.2484335601,0,0,96
16978.5127176567,0,0,96
17001.7439485172,0,0,95
17037.1946853838,0,0,94
17059.5134381409,0,0,97
17080.7699696436,0,0,97
17104.3402948198,0,0,97
17124.9779719664,0,0,95
17146.3674312006,0,0,92
17205.8209900393,0,0,94
17231.98790262,0,0,96
17252.6083486542,0,0,95
17272.932966086,0,0,95
17293.9432457599,0,0,97
17316.2808879665,0,0,101
17338.7476564115,0,0,101
17366.2813547164,0,0,105
17388.1989819329,0,0,101
17408.6761114628,0,0,95
17433.3710942225,0,0,95
17460.8282995218,0,0,95
17483.7422615421,0,0,93
17505.6030872634,0,0,91
17531.9854205951,0,0,92
17557.3147537064,0,0,90
17580.390729523,0,0,90
17600.9841655888,0,0,91
17627.9499563907,0,0,91
17661.6287496011,0,0,87
17687.9900078767,0,0,91
17710.9618469719,0,0,89
17730.9865880684,0,0,88
17759.0721455969,0,0,90
17779.7270836174,0,0,90
17799.8648311414,0,0,90
17829.4386384909,0,0,89
17856.507188386,0,0,95
17876.5432263355,0,0,96
17899.1513032539,0,0,92
17932.674958248,0,0,96
17956.5985852728,0,0,99
17978.4341351823,0,0,102
18001.2681341493,0,0,104
18021.5258780674,0,0,101
18045.7776274559,0,0,100
18067.6209435517,0,0,99
18090.8802935406,0,0,98
18115.8173842645,0,0,100
18137.4503521054,0,0,98
18157.5536227654,0,0,96
18178.074963592,0,0,95
18208.7152793004,0,0,94
18230.6121372767,0,0,95
18252.8898040895,0,0,95
18276.1255916641,0,0,96
18299.9025945224,0,0,98
18331.8083839544,0,0,100
18355.7953005543,0,0,99
18379.4927953113,0,0,97
18399.7309557146,0,0,100
18421.4844996494,0,0,101
18447.0462822247,0,0,97
18470.0307670465,0,0,96
18510.5910833287,0,0,95
18531.9741063304,0,0,100
18553.3777712994,0,0,100
18580.720919772,0,0,100
18617.0890347598,0,0,102
18637.4008185915,0,0,98
18699.491582347,0,0,99
18723.5539004004,0,0,101
18747.6345523289,0,0,101
18769.9050085897,0,0,99
18792.5679004535,0,0,95
18812.7914101533,0,0,99
18834.7419267774,0,0,100
18856.4616041434,0,0,100
18876.5482931043,0,0,101
18899.7952950122,0,0,101
18923.1520681115,0,0,99
18954.4690419251,0,0,97
18974.5832257512,0,0,95
18995.6489522069,0,0,94
19025.327799459,0,0,94
19073.0538536793,0,0,92
19094.1135074362,0,0,90
19125.9038443312,0,0,92
19146.8387927144,0,0,95
19171.3711208027,0,0,96
19191.9797417063,0,0,99
19227.4213797352,0,0,99
19250.1986049065,0,0,98
19270.2841708118,0,0,101
19290.8018338874,0,0,101
19320.5225151889,0,0,100
19341.823581534,0,0,97
19363.2637882062,0,0,95
19386.7337010483,0,0,97
19410.0466720128,0,0,98
19432.2087694258,0,0,97
19455.1532017171,0,0,100
19484.0163073907,0,0,98
19513.4913612015,0,0,97
19538.7973228842,0,0,94
19569.2273545369,0,0,92
19590.9765842929,0,0,93
19613.2384318181,0,0,93
19645.7942412465,0,0,94
19669.6881978657,0,0,95
19694.4808450014,0,0,97
19716.2149310247,0,0,98
19749.9398669093,0,0,97
19773.0144655199,0,0,99
19793.1636433438,0,0,102
19814.8975196532,0,0,102
19839.9971984208,0,0,102
19865.9920427814,0,0,102
19886.3576768512,0,0,103
19916.4474639621,0,0,102
19941.4315366332,0,0,104
19963.013020696,0,0,101
19985.0345594546,0,0,97
20023.2532097151,0,0,99
20044.4720619385,0,0,100
20066.5145901408,0,0,98
20087.4429677124,0,0,99
20109.9593168807,0,0,99
20139.978300005,0,0,97
20160.9355673869,0,0,95
20185.0667570274,0,0,96
20205.7314591335,0,0,94
20229.8450746192,0,0,95
20254.2828456016,0,0,95
20274.5260506291,0,0,97
20300.8720617193,0,0,97
20341.4479752236,0,0,94
20361.5787895058,0,0,95
20382.1402030293,0,0,96
20411.9213596246,0,0,100
20436.1566854719,0,0,102
20456.6795036627,0,0,102
20486.0929691234,0,0,99
20508.9376072502,0,0,99
20530.6578134296,0,0,100
20551.4637717453,0,0,100
20571.6648238772,0,0,99
20598.6755789579,0,0,99
20620.2015049472,0,0,99
20647.0629798429,0,0,95
20670.7638899455,0,0,96
20691.3215111804,0,0,95
20727.2646356537,0,0,96
20747.6000948182,0,0,96
20774.1714813799,0,0,98
20795.4431957123,0,0,97
20817.4182612924,0,0,101
20842.6174947183,0,0,100
20867.2619118594,0,0,98
20893.6611482176,0,0,98
20921.8975954147,0,0,97
20945.0197059967,0,0,100
20972.383578211,0,0,101
20992.4972907833,0,0,99
21013.8299694053,0,0,102
21059.2461146208,0,0,100
21079.3752569045,0,0,106
21103.9431527562,0,0,108
21124.86793394,0,0,108
21158.9640598494,0,0,108
21180.3306005112,0,0,110
21204.6071290334,0,0,110
21230.451264546,0,0,114
21258.0108107735,0,0,116
21278.3282805597,0,0,116
21313.6297699475,0,0,119
21334.0850156875,0,0,119
21362.5069453596,0,0,118
21389.4764702378,0,0,118
21411.9053975273,0,0,119
21435.4703578159,0,0,121
21459.3902148811,0,0,118
21479.5086009897,0,0,119
21500.9695334639,0,0,114
21531.7715731867,0,0,113
21563.7916745463,0,0,112
21585.5278957733,0,0,108
21606.2341797871,0,0,104
21626.6876184069,0,0,109
21653.1879101284,0,0,110
21677.6260592751,0,0,109
21707.3129687085,0,0,106
21730.4738232246,0,0,105
21755.150702026,0,0,106
21775.3977176015,0,0,105
21804.7502921751,0,0,103
21830.6051498535,0,0,103
21853.3411785149,0,0,102
21876.8048462764,0,0,105
21903.0549958338,0,0,105
21932.2337630679,0,0,106
21952.4189078035,0,0,106
21979.993838116,0,0,105
22004.0912104348,0,0,104
22036.1548520029,0,0,104
22060.4877393474,0,0,101
22085.4210636338,0,0,104
22111.4125688554,0,0,104
22132.9500050294,0,0,99
22161.0896496598,0,0,99
22190.1901101103,0,0,99
22215.9962258197,0,0,99
22240.0772037033,0,0,99
22260.7825670429,0,0,100
22282.1637961918,0,0,105
22302.3267762993,0,0,102
22323.5550586388,0,0,103
22350.2206983818,0,0,102
22370.8615029465,0,0,103
22390.907926177,0,0,101
22411.4243055864,0,0,102
22432.8085583239,0,0,101
22453.2098266997,0,0,105
22477.3932466352,0,0,108
22504.5321833478,0,0,106
22530.2241885863,0,0,102
22557.5243885365,0,0,104
22578.9735475063,0,0,103
22600.4239104047,0,0,106
22638.4472997692,0,0,109
22660.5121763225,0,0,110
22691.7262314864,0,0,112
22714.8505873146,0,0,111
22737.0709182241,0,0,108
22758.1587914924,0,0,106
22798.8328247533,0,0,106
22821.2999560638,0,0,102
22845.2150015736,0,0,103
22868.6917619177,0,0,101
22889.3220876088,0,0,98
22919.2141026452,0,0,94
22946.6946368579,0,0,93
22970.2476823441,0,0,96
22996.1548709037,0,0,95
23022.6959073204,0,0,98
23044.9689898702,0,0,96
23069.1522771658,0,0,95
23093.4291240688,0,0,91
23114.0564456727,0,0,93
23136.6928961802,0,0,93
23157.7383110914,0,0,93
23178.8577524632,0,0,92
23209.4546916902,0,0,92
23236.1996514504,0,0,90
23256.3152659491,0,0,89
23277.3266764676,0,0,88
23311.8133812397,0,0,93
23339.7926630384,0,0,95
23362.883133051,0,0,96
23391.172013435,0,0,96
23412.6203236322,0,0,97
23435.8115649128,0,0,95
23456.657106255,0,0,100
23477.5617097081,0,0,103
23499.2014420751,0,0,105
23523.0194458263,0,0,106
23545.4445944078,0,0,105
23577.3540524953,0,0,104
23599.4607034728,0,0,101
23627.6670789837,0,0,99
23648.5699906466,0,0,99
23672.0452074665,0,0,98
23711.5247217378,0,0,101
23735.0581866527,0,0,105
23755.957487684,0,0,108
23783.1236022246,0,0,109
23803.4060123264,0,0,106
23831.0362056679,0,0,105
23871.8704420455,0,0,103
23894.1399037011,0,0,101
23923.0957924419,0,0,100
23953.3274341513,0,0,99
23974.4066327074,0,0,97
24003.6561175764,0,0,101
24025.8898190257,0,0,101
24050.0532171244,0,0,102
24087.1222721454,0,0,103
24111.6494458603,0,0,103
24137.3798243289,0,0,101
24161.0348238812,0,0,102
24183.8281363722,0,0,104
24206.4232528256,0,0,105
24234.2531899115,0,0,106
24255.6836625409,0,0,104
24276.32531075,0,0,103
24302.563919647,0,0,105
24330.6173954926,0,0,107
24355.3352121292,0,0,111
24381.5927596723,0,0,108
24411.2457781188,0,0,109
24432.4876192094,0,0,106
24458.003875745,0,0,105
24482.4412750979,0,0,103
24505.59569317,0,0,105
24529.1529389738,0,0,108
24556.119014535,0,0,106
24582.7361368916,0,0,110
24604.6252187988,0,0,110
24626.2999123527,0,0,110
24646.9395814585,0,0,111
24671.4729257081,0,0,114
24694.0866119637,0,0,114
24715.0613676559,0,0,113
24737.1459740111,0,0,115
24760.9621290235,0,0,119
24783.0605590374,0,0,119
24807.9817743458,0,0,118
24828.3019625141,0,0,114
24853.5350760922,0,0,119
24881.4186985453,0,0,120
24912.0438596674,0,0,119
24935.3311668004,0,0,118
24956.2306720884,0,0,119
24982.3763314268,0,0,117
25009.133531044,0,0,118
25035.0022778391,0,0,112
25067.5022718086,0,0,115
25090.1183167452,0,0,115
25116.223508454,0,0,114
